"","company","model","old","fuel","km","price"
"115","기아","더 뉴 K5 2세대 2.0 가솔린 인텔리전트",23,"가솔린",10000,2530
"116","기아","더 뉴 K5 2.0 LPi 프레스티지",77,"LPG",90000,1130
"117","기아","더 뉴 K5 2.0 트렌디",80,"가솔린",70000,1090
"118","기아","더 뉴 K5 하이브리드 2세대  2.0 GDI HEV 노블레스 스페셜",11,"가솔린+전기",7000,2990
"119","기아","K5 2세대 1.7 디젤 SX 프레스티지",54,"디젤",70000,1299
"120","기아","K5 2.0 디럭스",115,"가솔린",120000,450
"121","기아","K5 2.0  터보 노블레스",98,"가솔린",130000,690
"122","기아","K5 2.0 LPi  스마트",114,"LPG",150000,480
"123","기아","K5 2.0 LPi 프레스티지",117,"LPG",220000,450
"124","기아","더 뉴 K5 2.0 노블레스",78,"가솔린",60000,1030
"125","기아","K5 2세대 2.0 가솔린 SX 프레스티지",44,"가솔린",40000,1170
"126","기아","더 뉴 K5 터보  노블레스",81,"가솔린",140000,790
"127","기아","K5 2.0 노블레스",98,"가솔린",140000,869
"128","기아","K5 2세대 LPI SX 프레스티지",51,"LPG",110000,1099
"129","기아","K5 2세대 1.7 디젤 SX  디럭스",48,"디젤",1e+05,990
"130","기아","더 뉴 K5 2세대 1.7 디젤 프레스티지",24,"디젤",80000,1580
"131","기아","K5 하이브리드 500H 프레스티지",79,"가솔린+전기",150000,940
"132","기아","K5  2.0 럭셔리",108,"가솔린",70000,820
"133","기아","더 뉴 K5 2.0 LPi 디럭스",63,"LPG",80000,800
"134","기아","K5 2.0 프레스티지",101,"가솔린",130000,850
"135","기아","K5 2.4 GDI 프레스티지",115,"가솔린",80000,579
"136","기아","더 뉴 K5 2.0 프레스티지",65,"가솔린",70000,1220
"137","기아","더 뉴 K5 2.0  트렌디",70,"가솔린",140000,940
"138","기아","K5 2.0 디럭스",108,"가솔린",50000,829
"139","기아","더 뉴 K5 2.0 LPi 디럭스",63,"LPG",130000,599
"140","기아","K5 2세대 2.0 가솔린 MX 럭셔리",50,"가솔린",70000,1050
"141","기아","K5 2세대 2.0 가솔린 SX  스타일 에디션",33,"가솔린",10000,1650
"142","기아","더 뉴 K5 하이브리드 2세대 2.0 GDI HEV 노블레스",16,"가솔린+전기",20000,2290
"143","기아","K5 2세대 LPI SX 럭셔리",52,"LPG",70000,1040
"144","기아","K5 2세대 2.0 T-GDI SX 노블레스 스페셜",51,"가솔린",30000,1620
"145","기아","K5 2.0 LPi 프레스티지",86,"LPG",130000,1070
